structure,operation,dataset,len,averageTime
AVLTree,search-hot,random,100,0.823642
RedBlackTree,search-hot,random,100,0.9293720000000001
SplayTree,search-hot,random,100,2.364572
AVLTree,search-hot,sorted,100,0.93628
RedBlackTree,search-hot,sorted,100,1.018404
SplayTree,search-hot,sorted,100,2.310342
AVLTree,search-hot,reverse,100,1.051432
RedBlackTree,search-hot,reverse,100,0.9292959999999999
SplayTree,search-hot,reverse,100,2.265136
AVLTree,search-hot,random,1000,1.464086
RedBlackTree,search-hot,random,1000,1.3710980000000001
SplayTree,search-hot,random,1000,2.6127800000000003
AVLTree,search-hot,sorted,1000,1.402218
RedBlackTree,search-hot,sorted,1000,1.457432
SplayTree,search-hot,sorted,1000,2.698692
AVLTree,search-hot,reverse,1000,1.3736279999999998
RedBlackTree,search-hot,reverse,1000,1.439692
SplayTree,search-hot,reverse,1000,2.900544
AVLTree,search-hot,random,10000,2.0450399999999997
RedBlackTree,search-hot,random,10000,1.852634
SplayTree,search-hot,random,10000,2.44375
AVLTree,search-hot,sorted,10000,2.070324
RedBlackTree,search-hot,sorted,10000,2.422052
SplayTree,search-hot,sorted,10000,2.542084
AVLTree,search-hot,reverse,10000,2.470694
RedBlackTree,search-hot,reverse,10000,2.640982
SplayTree,search-hot,reverse,10000,2.604938
AVLTree,search-hot,random,100000,2.751848
RedBlackTree,search-hot,random,100000,3.7021319999999998
SplayTree,search-hot,random,100000,2.944448
AVLTree,search-hot,sorted,100000,3.847672
RedBlackTree,search-hot,sorted,100000,4.556924
SplayTree,search-hot,sorted,100000,2.8983679999999996
AVLTree,search-hot,reverse,100000,2.40257
RedBlackTree,search-hot,reverse,100000,4.430908
SplayTree,search-hot,reverse,100000,2.844626
AVLTree,search-hot,random,1000000,3.576246
RedBlackTree,search-hot,random,1000000,3.8465499999999997
SplayTree,search-hot,random,1000000,3.799928
AVLTree,search-hot,sorted,1000000,3.756036
RedBlackTree,search-hot,sorted,1000000,4.423692
SplayTree,search-hot,sorted,1000000,3.234166
AVLTree,search-hot,reverse,1000000,3.02623
RedBlackTree,search-hot,reverse,1000000,4.09628
SplayTree,search-hot,reverse,1000000,3.154004
AVLTree,search-hot,random,10000000,4.293316
RedBlackTree,search-hot,random,10000000,6.564586
SplayTree,search-hot,random,10000000,3.4026080000000003
AVLTree,search-hot,sorted,10000000,5.369643999999999
RedBlackTree,search-hot,sorted,10000000,5.383936
SplayTree,search-hot,sorted,10000000,5.689833999999999
AVLTree,search-hot,reverse,10000000,4.599036
RedBlackTree,search-hot,reverse,10000000,6.2077539999999996
SplayTree,search-hot,reverse,10000000,3.352448
